板块,产品/服务,子产品/规格,定价（元）,单位,说明,备注
自然手作卫星·手作体验,天然洗碗液体验课,制作1瓶带走,68,元/人,,价格未经测算
自然手作卫星·手作体验,天然洗碗液零售,成品购买,28,元/瓶,体验课后复购,价格未经测算
自然手作卫星·手作体验,花露水体验课,制作1瓶带走,48,元/人,夏日组合,价格未经测算
自然手作卫星·手作体验,花露水零售,成品购买,28,元/瓶,体验课后复购,价格未经测算
自然手作卫星·手作体验,松塔香体验课,制作1盒（约30粒）带走,68,元/人,农场差异化产品,价格未经测算
自然手作卫星·手作体验,松塔香零售,成品购买,38,元/盒,体验课后复购,价格未经测算
自然手作卫星·手作体验,松针纯露体验课,制作1瓶带走,68,元/人,,价格未经测算
自然手作卫星·手作体验,松针纯露零售,成品购买,38,元/瓶,体验课后复购,价格未经测算
自然手作卫星·手作体验,合香珠/香牌体验课,制作1枚带走,198,元/人,深度体验,价格未经测算
自然手作卫星·手作体验,合香珠/香牌零售,成品购买,88,元/枚,体验课后复购,价格未经测算
自然手作卫星·手作体验,植物拓印布袋体验课,制作1个带走,88,元/人,亲子友好,价格未经测算
自然手作卫星·手作体验,植物拓印布袋零售,成品购买,48,元/个,体验课后复购,价格未经测算
,,, ,,,
自然手作卫星·探索营,自然探索营半日,7-14岁独立参加（3小时）,198,元/人,不含餐,价格未经测算
自然手作卫星·探索营,自然探索营全日,7-14岁独立参加（6小时）,258,元/人,含简餐，"价格未经测算",
,,, ,,,
自然手作卫星·生日会,自然生日会基础版,10人以内,980,元/场,含场地+活动（寻宝+手作）+简餐+合影,价格未经测算
自然手作卫星·生日会,自然生日会标准版,15人以内,1280,元/场,含基础版+简餐升级+装饰布置,价格未经测算
自然手作卫星·生日会,自然生日会豪华版,20人以内,1680,元/场,含标准版+手作升级+摄影师跟拍,价格未经测算
,,, ,,,
自然手作卫星·成人疗愈,松林正念行走,引导静默行走+茶歇,88,元/人,60分钟，合作模式,价格未经测算
自然手作卫星·成人疗愈,松林颂钵疗愈,树下听钵+呼吸引导,88,元/人,75分钟，合作模式,价格未经测算
自然手作卫星·成人疗愈,松林晨间瑜伽/八段锦,晨练,,元/人,60分钟，合作模式,价格未经测算
,,, ,,,
田园摄影,跟拍服务,1小时跟拍（10精修+原片全送）,98,元/组,合作摄影师50%/农场50%,价格未经测算
田园摄影,跟拍服务,2小时跟拍（20精修+原片全送）,188,元/组,合作摄影师50%/农场50%,价格未经测算
田园摄影,场景快拍,单张精修打印,19.9,元/张,大型活动专用，现场取片,价格未经测算
田园摄影,场景快拍,5张电子版,38,元/组,拍摄+选片<15分钟,价格未经测算
